,Make,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Vehicle Size,city mpg,Popularity,MSRP
1901,Volkswagen,regular unleaded,170.0,4.0,MANUAL,front wheel drive,Compact,24,873,25885
1902,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,24,873,29215
1903,Volkswagen,regular unleaded,170.0,4.0,MANUAL,front wheel drive,Compact,24,873,25095
1904,Volkswagen,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,31,873,26430
1906,Volkswagen,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,31,873,29625
1907,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,31375
1910,Volkswagen,diesel,150.0,4.0,MANUAL,front wheel drive,Compact,31,873,28525
1912,Volkswagen,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,31,873,28810
1913,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,25,873,24705
1921,Volkswagen,regular unleaded,170.0,4.0,MANUAL,front wheel drive,Compact,24,873,23605
1922,Volkswagen,diesel,150.0,4.0,MANUAL,front wheel drive,Compact,31,873,25330
1923,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,24,873,29775
1927,Volkswagen,diesel,150.0,4.0,MANUAL,front wheel drive,Compact,31,873,24795
1930,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,25995
1931,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,24,873,27095
1932,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,25,873,22450
1933,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,25,873,19795
1934,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,25,873,25975
1935,Volkswagen,regular unleaded,170.0,4.0,MANUAL,front wheel drive,Compact,24,873,21350
1937,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,25,873,19595
1938,Volkswagen,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,Compact,23,873,31450
1941,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,24,873,32550
1943,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,23995
1949,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,20475
1950,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,19995
1951,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,23995
1952,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,21890
1953,Volkswagen,premium unleaded (recommended),210.0,4.0,AUTOMATED_MANUAL,front wheel drive,Compact,23,873,32550
1954,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,25975
1955,Volkswagen,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,Compact,24,873,22450
2023,Ford,regular unleaded,140.0,6.0,MANUAL,rear wheel drive,Compact,16,5657,2000
2025,Ford,regular unleaded,140.0,6.0,MANUAL,four wheel drive,Compact,15,5657,2000
2031,Ford,regular unleaded,185.0,8.0,MANUAL,four wheel drive,Midsize,12,5657,2308
2032,Ford,regular unleaded,185.0,8.0,AUTOMATIC,four wheel drive,Midsize,12,5657,2585
2033,Ford,regular unleaded,185.0,8.0,MANUAL,four wheel drive,Midsize,12,5657,2396
2034,Ford,regular unleaded,205.0,8.0,MANUAL,four wheel drive,Midsize,12,5657,2620
2035,Ford,regular unleaded,205.0,8.0,AUTOMATIC,four wheel drive,Midsize,12,5657,2872
2036,Ford,regular unleaded,205.0,8.0,MANUAL,four wheel drive,Midsize,12,5657,2474
2037,Ford,regular unleaded,199.0,8.0,MANUAL,four wheel drive,Midsize,13,5657,2774
2038,Ford,regular unleaded,199.0,8.0,MANUAL,four wheel drive,Midsize,13,5657,2996
2039,Ford,regular unleaded,199.0,8.0,AUTOMATIC,four wheel drive,Midsize,11,5657,3248
2095,Ford,regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,Compact,42,5657,27170
2096,Ford,regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,Compact,42,5657,24170
2097,Ford,regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,Compact,42,5657,24170
2098,Ford,regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,Compact,42,5657,27170
2099,Ford,regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,Compact,42,5657,24120
2100,Ford,regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,Compact,42,5657,27120
2122,Volkswagen,regular unleaded,94.0,4.0,MANUAL,front wheel drive,Compact,22,873,2000
2123,Volkswagen,regular unleaded,94.0,4.0,MANUAL,front wheel drive,Compact,22,873,2000
2126,Volkswagen,regular unleaded,94.0,4.0,MANUAL,front wheel drive,Compact,21,873,2000
2128,Volkswagen,regular unleaded,115.0,4.0,MANUAL,front wheel drive,Compact,21,873,2473
2129,Volkswagen,regular unleaded,115.0,4.0,MANUAL,front wheel drive,Compact,21,873,2568
2130,Volkswagen,regular unleaded,115.0,4.0,MANUAL,front wheel drive,Compact,21,873,19600
2131,Volkswagen,regular unleaded,115.0,4.0,AUTOMATIC,front wheel drive,Compact,20,873,23175
2132,Volkswagen,regular unleaded,115.0,4.0,MANUAL,front wheel drive,Compact,21,873,22300
2133,Volkswagen,regular unleaded,115.0,4.0,AUTOMATIC,front wheel drive,Compact,20,873,20475
2134,Volkswagen,regular unleaded,115.0,4.0,AUTOMATIC,front wheel drive,Compact,20,873,21475
2135,Volkswagen,regular unleaded,115.0,4.0,MANUAL,front wheel drive,Compact,21,873,20600
2136,Volkswagen,regular unleaded,115.0,4.0,AUTOMATIC,front wheel drive,Compact,20,873,21475
2137,Volkswagen,regular unleaded,115.0,4.0,AUTOMATIC,front wheel drive,Compact,20,873,23175
2138,Volkswagen,regular unleaded,115.0,4.0,MANUAL,front wheel drive,Compact,21,873,22300
2139,Volkswagen,regular unleaded,115.0,4.0,MANUAL,front wheel drive,Compact,21,873,20600
2140,Volkswagen,regular unleaded,115.0,4.0,MANUAL,front wheel drive,Compact,21,873,19600
2141,Volkswagen,regular unleaded,115.0,4.0,AUTOMATIC,front wheel drive,Compact,20,873,20475
2203,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,40,2031,29980
2204,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,40,2031,27995
2205,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,43,2031,26790
2206,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,40,2031,30140
2207,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,40,2031,27995
2208,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,43,2031,26790
2209,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,42,2031,26790
2210,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,40,2031,27995
2211,Toyota,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,Midsize,40,2031,30140
2212,Toyota,regular unleaded,157.0,4.0,AUTOMATIC,front wheel drive,Midsize,20,2031,21855
2213,Toyota,regular unleaded,225.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,26940
2214,Toyota,regular unleaded,225.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,23355
2215,Toyota,regular unleaded,225.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,30210
2216,Toyota,regular unleaded,157.0,4.0,MANUAL,front wheel drive,Midsize,21,2031,21025
2217,Toyota,regular unleaded,225.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,21860
2218,Toyota,regular unleaded,157.0,4.0,AUTOMATIC,front wheel drive,Midsize,20,2031,20360
2219,Toyota,regular unleaded,157.0,4.0,MANUAL,front wheel drive,Midsize,21,2031,19530
2220,Toyota,regular unleaded,225.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,26405
2221,Toyota,regular unleaded,157.0,4.0,AUTOMATIC,front wheel drive,Midsize,20,2031,23405
2222,Toyota,regular unleaded,155.0,4.0,MANUAL,front wheel drive,Midsize,21,2031,19930
2223,Toyota,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,29460
2224,Toyota,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,27190
2225,Toyota,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,Midsize,22,2031,20760
2226,Toyota,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,Midsize,22,2031,23030
2227,Toyota,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,24530
2228,Toyota,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,Midsize,22,2031,23905
2229,Toyota,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,26905
2230,Toyota,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,30460
2231,Toyota,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,22260
2232,Toyota,regular unleaded,155.0,4.0,MANUAL,front wheel drive,Midsize,21,2031,22200
2233,Toyota,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,27440
2234,Toyota,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,Midsize,22,2031,24155
2235,Toyota,regular unleaded,155.0,4.0,MANUAL,front wheel drive,Midsize,21,2031,22450
2236,Toyota,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,27155
2237,Toyota,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,22510
2238,Toyota,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,30710
2239,Toyota,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,Midsize,22,2031,21010
2240,Toyota,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,24780
2241,Toyota,regular unleaded,155.0,4.0,AUTOMATIC,front wheel drive,Midsize,22,2031,23280
2242,Toyota,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,Midsize,18,2031,29710
2243,Toyota,regular unleaded,155.0,4.0,MANUAL,front wheel drive,Midsize,21,2031,20180
2244,Toyota,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,Midsize,25,2031,26150
2246,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,31370
2247,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,31370
2248,Toyota,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,Midsize,25,2031,22970
2249,Toyota,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,Midsize,25,2031,23840
2250,Toyota,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,Midsize,25,2031,26310
2251,Toyota,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,Midsize,25,2031,23840
2253,Toyota,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,Midsize,25,2031,25715
2254,Toyota,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,Midsize,25,2031,23070
2255,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,31370
2256,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,31370
2257,Toyota,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,Midsize,24,2031,23070
2258,Toyota,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,Midsize,24,2031,23840
2259,Toyota,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,Midsize,24,2031,26310
2260,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,31370
2261,Toyota,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,Midsize,21,2031,31370
2393,Volkswagen,premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,Midsize,21,873,34275
2394,Volkswagen,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,Midsize,22,873,34095
2395,Volkswagen,premium unleaded (recommended),200.0,4.0,MANUAL,front wheel drive,Midsize,21,873,32995
2396,Volkswagen,premium unleaded (recommended),280.0,6.0,AUTOMATED_MANUAL,all wheel drive,Midsize,17,873,43575
2398,Volkswagen,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,Midsize,22,873,38085
2399,Volkswagen,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,Midsize,22,873,35375
2404,Volkswagen,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,Midsize,22,873,32670
